iter	Passed	Remaining
761	18373	5738
762	18387	5711
763	18455	5700
764	18464	5672
765	18470	5642
766	18481	5614
767	18533	5598
768	18541	5569
769	18548	5540
770	18555	5511
771	18611	5496
772	18619	5467
773	18629	5439
774	18636	5410
775	18671	5389
776	18728	5375
777	18737	5346
778	18745	5318
779	18756	5290
780	18843	5283
781	18853	5255
782	18865	5228
783	18954	5222
784	18965	5194
785	18973	5165
786	18982	5137
787	19063	5128
788	19071	5100
789	19079	5071
790	19084	5042
791	19098	5015
792	19162	5002
793	19169	4973
794	19179	4945
795	19204	4921
796	19228	4897
797	19241	4870
798	19252	4843
799	19276	4819
800	19288	4791
801	19296	4764
802	19304	4735
803	19337	4714
804	19350	4687
805	19370	4662
806	19382	4635
807	19433	4617
808	19442	4590
809	19450	4562
810	19464	4536
811	19529	4521
812	19544	4495
813	19558	4469
814	19563	4440
815	19623	4424
816	19631	4397
817	19641	4370
818	19648	4342
819	19705	4325
820	19711	4297
821	19719	4270
822	19725	4242
823	19734	4215
824	19742	4187
825	19753	4161
826	19766	4134
827	19833	4119
828	19947	4114
829	19954	4087
830	19965	4060
831	19974	4033
832	20077	4025
833	20146	4009
834	20158	3983
835	20165	3955
836	20174	3928
837	20213	3907
838	20224	3881
839	20245	3856
840	20255	3829
841	20298	3809
842	20310	3782
843	20321	3756
844	20334	3729
845	20339	3702
846	20359	3677
847	20368	3650
848	20435	3634
849	20447	3608
850	20456	3581
851	20471	3556
852	20539	3539
853	20550	3513
854	20560	3486
855	20569	3460
856	20674	3449
857	20684	3423
858	20689	3396
859	20697	3369
860	20841	3364
861	20850	3337
862	20861	3311
863	20867	3284
864	21011	3279
865	21021	3252
866	21027	3225
867	21039	3199
868	21124	3184
869	21135	3158
870	21143	3131
871	21152	3104
872	21158	3078
873	21169	3051
874	21174	3024
875	21189	2999
876	21283	2985
877	21289	2958
878	21300	2932
879	21316	2906
880	21327	2880
881	21434	2867
882	21443	2841
883	21449	2814
884	21461	2788
885	21542	2771
886	21548	2745
887	21563	2719
888	21573	2693
889	21660	2677
890	21672	2651
891	21685	2625
892	21695	2599
893	21749	2578
894	21764	2553
895	21772	2527
896	21781	2501
897	21802	2476
898	21812	2450
899	21817	2424
900	21830	2398
901	21868	2375
902	21879	2350
903	21895	2325
904	21907	2299
905	21947	2277
906	21961	2251
907	21968	2225
908	22057	2208
909	22068	2182
910	22076	2156
911	22081	2130
912	22091	2105
913	22098	2079
914	22108	2053
915	22120	2028
916	22125	2002
917	22187	1981
918	22193	1956
919	22202	1930
920	22216	1905
921	22267	1883
922	22274	1858
923	22284	1832
924	22297	1807
925	22313	1783
926	22371	1761
927	22380	1736
928	22388	1711
929	22395	1685
930	22436	1662
931	22443	1637
932	22456	1612
933	22469	1587
934	22588	1570
935	22596	1545
936	22605	1519
937	22618	1495
938	22627	1469
939	22633	1444
940	22644	1419
941	22651	1394
942	22660	1369
943	22666	1344
944	22675	1319
945	22682	1294
946	22778	1274
947	22783	1249
948	22793	1224
949	22799	1199
950	22865	1178
951	22879	1153
952	22890	1128
953	22908	1104
954	23018	1084
955	23029	1059
956	23038	1035
957	23045	1010
958	23135	989
959	23147	964
960	23154	939
961	23164	915
962	23215	891
963	23222	867
964	23277	844
965	23284	819
966	23293	794
967	23298	770
968	23311	745
969	23398	723
970	23417	699
971	23426	674
972	23496	652
973	23504	627
974	23515	602
975	23587	580
976	23597	555
977	23605	530
978	23612	506
979	23621	482
980	23627	457
981	23634	433
982	23799	411
983	23805	387
984	23813	362
985	23818	338
986	23829	313
987	23950	290
988	23963	266
989	23969	242
990	23989	217
991	24075	194
992	24082	169
993	24088	145
994	24109	121
995	24115	96
996	24122	72
997	24245	48
998	24252	24
999	24263	0
